KCAL	SODI	SUGR	FF	TFAT	PFAT	CHL	ATOC	ATOA	RET	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	NIAC	FDFE	ZINC	B12A	VC	VD	CALC	POTA	CAFF	THEO	ALCO	MOIS	S140	S100	S120	M201	M221	P226	P225
1718	2961.5	134.125	97	65.515	13.242	182.1	6.47	0	227	371.5	487.5	1418	88	2749.5	583.5	8.81	14.516	271.5	6.86	0	28.5	5.95	923.5	2108.5	100	66	0	2218.835	2.2515	0.5285	0.6045	0.1715	0.0595	0.0015	0.021
1848.5	2754.5	105.825	185	81.395	21.6995	406.35	7.685	0	641.5	658.5	48	206	18	2621.5	698	9.61	17.0125	323	8.315	5.185	110.4	9.1	1423	2664.5	8.5	1	0	1546.235	2.0945	0.525	0.609	0.344	0.0245	0.0345	0.0185
813	1695.5	37.37	338.5	41.27	10.478	269.65	7.195	0	139.5	740.5	385.5	6973	42	5323	8055	8.39	12.0175	363.5	6.805	0	104.15	1.4	626	3115	72	7	0	4721.515	0.63	0.185	0.1295	0.11	0.0035	0.03	0.0085
1720.5	2349.5	98.92	314.5	65.62	13.918	240.6	5.745	0.12	304.5	686	602.5	4221	114	7607.5	552.5	11.44	13.657	497.5	6.85	1.98	230.45	2.75	992	2151.5	101	56.5	0	1263.645	1.9835	0.554	0.7065	0.1455	0.001	0.03	0.0145
1047.5	1307	83.2	62.5	31.01	9.145	61.3	2.57	0	59	88.5	24.5	326.5	23	1583	367.5	5.45	8.4315	165.5	2.505	0	51.8	0.05	408	1153.5	0	0	0	1659.37	0.638	0.147	0.218	0.0755	0.0025	0.002	0.0035
1453	2238	84.205	208.5	48.375	9.353	231.35	5.92	0	166.5	1372.5	1775	13585	9.5	3022.5	6756	9.57	18.6085	383.5	6.43	0	77.9	4.7	425.5	2583	0.5	15.5	4.65	1182.24	1.5695	0.346	0.408	0.3035	0.0215	0.142	0.0355
2389	3218	87.835	117.5	105.905	20.961	406.3	4.81	0	329	413.5	513.5	717	73.5	925.5	433.5	10.48	34.96	324	12.035	0	22.25	4.55	664.5	3105	279.5	61	21.05	2298.925	1.71	0.328	0.665	0.523	0.022	0.01	0.0355
2686.5	3679.5	130.355	235.5	115.185	28.257	468.3	12.85	0	113.5	702	2237.5	5938.5	7	6986.5	2587.5	18.42	32.4705	479	20.615	0	140.2	1.35	620.5	3051.5	37.5	41.5	0	3228.645	1.863	0.3285	0.3705	0.4135	0.002	0	0.033
2105.5	3516	253.975	104	50.315	12.941	242.3	3.28	0	210	247.5	144	357.5	13	936	253.5	10.97	10.33	213	6.725	0	18.9	2.35	559.5	1857.5	128.5	0	0	2856.06	0.9	0.2345	1.2045	0.185	0.0275	0.0155	0.0055
2517	4680	142.895	305	90.075	18.1595	350.95	5.72	0	502.5	552	44.5	496.5	163	3338.5	776	17.015	28.4925	715.5	9.715	0	196.25	2.05	1115	2400.5	0	0	0	2471.37	4.5485	1.133	1.1935	0.252	0.0835	0.034	0.0255
