PHOS	CARB	FIBE	TFAT	SFAT	CHL	ATOC	ATOA	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	VB2	NIAC	FDFE	FF	B12A	VC	VD	CALC	MAGN	SODI	POTA	SELE	CAFF	THEO	ALCO	MOIS	S140	S120	M161	M201	M221	P183	P184	P226
896.5	149.36	21.7	30.985	8.7205	290.05	3.77	0	767	150.5	3198	7.5	2765	5328.5	16.29	1.649	18.677	366	212.5	0	35.05	1.5	597.5	272	2468.5	1783.5	86.4	198	0	0	5484.63	0.402	0.085	0.4205	0.1345	0.118	0.6375	5e-04	0.033
1126	181.83	16.95	44.045	17.492	194.65	3.63	0	274	38	349.5	0	945.5	1500.5	6.125	1.9025	7.658	166	147.5	0.015	62.55	4.45	814.5	270.5	1880	2074.5	51.5	165	26	91.3	2254.085	1.921	0.6265	0.3475	0.078	0.008	2.9145	5e-04	0.0195
2564.5	169.755	24.3	153.975	50.7885	548.4	9.465	0	415.5	40.5	873.5	91	711	1641.5	20.14	2.8405	32.6855	423.5	264.5	0	71.9	2.65	1285.5	385.5	6766	3095.5	204.15	353	5.5	0	3803.425	4.387	1.089	3.222	0.5395	0.0665	3.47	0.001	0.06
1502	126.03	8.7	59.69	19.126	427.15	5.03	0	346.5	0	234.5	2	676.5	324	11.1	1.9325	37.364	215	160.5	0	49.65	3.95	623.5	274	4042.5	2980.5	149.85	113.5	0	65.05	2744.87	1.5385	0.378	0.8995	0.2095	0.013	0.664	0	0.0055
1560	190.88	13.35	84.885	27.187	519.25	5.79	0	602.5	22.5	247	16	709.5	985	10.51	2.195	20.7115	158.5	111.5	0	10.2	13.55	745	261.5	3728	2632	145.2	0	16.5	34.45	2051.92	1.6315	0.3555	1.1635	0.569	0.025	1.081	0.035	0.204
1323.5	193.235	18.55	65.295	23.6335	152.4	19.595	14.085	1705	3128.5	7052	15	0	971	17.885	2.754	20.7745	1085.5	154	8.96	38.75	10.45	2153	332	3677	2330.5	61.9	202.5	0	66.45	2153.81	3.2885	0.7945	0.678	0.146	0.003	1.282	0	5e-04
1654.5	241.715	11.75	103.585	39.274	483.05	6.75	0	797.5	1.5	492.5	25	12401	672.5	15.265	2.8935	26.082	566.5	158	0.625	14.75	11.8	1604	238.5	4066.5	2366	160.85	1	12	0	2098.08	4.1275	1.2575	1.2815	0.2495	0.075	2.1225	5e-04	0.0515
1997	227.46	14.2	62.35	27.9675	353.85	8.16	3.64	881	137	668	156.5	2187	690.5	6.48	3.8595	18.3565	264.5	239.5	0.815	83.3	17.5	2569	363	2275	4198.5	89.1	245.5	16.5	0	4523.04	3.5605	1.121	0.7825	0.1145	0.0015	1.032	0	0.0025
2028	211.345	17.75	117.395	31.777	426.95	11.34	0	548	821.5	2210.5	37	194.5	1062	12.64	1.4225	25.4635	494	206	0	56.35	4.7	685	238.5	5151.5	2929	188.4	4	40.5	15.95	1452.585	1.353	0.3095	0.82	0.3955	0.0235	2.6375	0.0015	0.388
1186	167.87	12.25	50.3	11.5255	426.5	6.395	0	328	522	1787	561	110.5	1481.5	8.49	1.67	26.5175	374.5	293.5	0	207.05	1.1	369.5	255	5059	3171.5	111.4	80.5	0	0	3742.69	0.4815	0.5485	0.9335	0.2305	0.003	1.405	0	0.024
