F_CITMLB	F_OTHER	F_JUICE	F_TOTAL	V_DRKGR	V_REDOR_TOTAL	V_REDOR_OTHER	V_STARCHY_TOTAL	V_STARCHY_OTHER	V_OTHER	V_TOTAL	PF_LEGUMES	G_WHOLE	G_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_ORGAN	PF_POULT	PF_SEAFD_HI	PF_SEAFD_LOW	PF_TOTAL	PF_EGGS	PF_SOY	PF_NUTSDS	D_MILK	D_YOGURT	D_CHEESE	D_TOTAL	OILS	SOLID_FATS	ADD_SUGARS	A_DRINKS
0	0	0.011997	0.011997	0	0.3982	0	0.5875	0	0.191	1.1767	0	1.189212	7.695687	1.49	0.7775	0	2.726	0	0	4.9935	0	0	0	0.0849	0	0.4935	0.5784	13.577602	35.099401	6.391516	0
0	0.81285	0	0.81285	0	0.523952	0.163407	0.302752	0.105876	0.811132	1.637836	0.273	0	2.446152	0.584575	0.098	0.455	1.667547	0	0	3.354522	0.5494	0	0	0.3493	0	0	0.3568	5.432384	6.049325	3.254836	0
0.41188	0	0.465	0.87688	0.1535625	0.1583125	0.05	0.28375	0	0.3032	0.898825	0	1.581666	8.267366	0.1134	2.1784	0	3.7894375	0	0	6.21524	0.0605025	0.0735	0	0.398475	0	0.2743625	0.68495	25.4038305	13.199903	10.7278	0
0	0	0.1753835	0.1753835	0	0.0955	0.08645	1.26685	0.1456	0.3512845	1.7136345	0	0.2725	3.9513875	0	3.6644035	0	2.701	0	0	7.692321	1.3269175	0	0	0.5827625	0	0.47965	1.0624125	33.258125	26.489263	31.2544165	0
0	0.20495	0.0580375	0.2629875	0	0.1483875	0	0.61635	0.275625	0.47895	1.2436875	0.1819125	1.077994	10.975739	1.0468125	7.1011825	0	5.12975	0.294525	0.8625375	17.3406825	1.410875	0.93	0.565	0.1498375	0	0.5307875	0.709425	86.439279	65.397965	20.632918	0
0.23625	2.2650625	0.393525	2.8948375	0.823465	0.10692	0	0.550425	0.1458	0.7212925	2.2021025	0	0	11.3272945	0.4028	0.6582	0	1.2636	0.258	0.324	3.7587875	0.6280125	0	0.224175	1.5625135	0	1.954228	3.5167415	22.6186975	51.0319605	11.626912	0
0	3.3124	0	3.3124	2.7805225	0.587082	0.587082	0.2832225	0.0944075	0.6580725	4.3088995	0	0.3576875	6.0229555	3.4045015	0	0	0	8.925	0	12.3295015	0	0	0	0.048	0	0	0.048	21.2754895	12.088814	0.5206005	1.13544
0	0.2698	0	0.2698	0	0.1082	0	0	0	0.2671	0.3753	2.323825	0	5.2653	0	0	0	1.058	0	0	1.058	0	0	0	0	0	0.4451325	0.4451325	13.2775	10.969156	0.161	0
0.2376	0.2813625	0.012174	0.5311365	0	0.09	0	1.593375	0.275625	0.09	1.773375	0	1.34315	6.243721	1.35	2.1784	0	1.4135	0	0	6.520491	1.578591	0	0	1.7453	0	0.563	2.3198	27.9221105	51.474418	33.5784475	0
0	0.006	1.4505	1.4565	0	0.236	0	0	0	0.0440985	0.2800985	0	1.3715	10.1895625	0.3759	2.471	0	5.3657625	0	0	8.8834625	0.6708	0	0	0.450275	0.49	0	0.948675	6.055104	4.20585	8.480983	0
0.3432885	0.8022295	0	1.145518	0	0.1512	0.1512	0.4536	0.0945	0.1506	0.7554	0	0.1386	5.74149	5.7659	5.8663375	0	0	0	0	11.6500875	0	0.01785	0	1.2445875	0	0.18	1.4322375	10.0215625	129.643074	31.2045775	0
